Key	Pronunciation	Lexeme	Transliteration	Definition	StrongsNumber
g979	bee'-os	βίος	bíos	[βίος] a primary word; life, i.e. (literally) the present state of existence; by implication, the means of livelihood	g979
g978	bee-thoo-nee'-ah	Βιθυνία	Bithynía	[Βιθυνία] of uncertain derivation; Bithynia, a region of Asia	g978
g975	bib-lee'-on	βιβλίον	biblíon	[βιβλίον] a diminutive of {{g976}}; a roll	g975
g974	bib-lee-ar-id'-ee-on	βιβλιαρίδιον	bibliarídion	[βιβλιαρίδιον] a diminutive of {{g975}}; a booklet	g974
g977	bib-ro'-sko	βιβρώσκω	bibrṓskō	[βιβρώσκω] a reduplicated and prolonged form of an obsolete primary verb (perhaps causative of {{g1006}}); to eat	g977
g976	bib'-los	βίβλος	bíblos	[βίβλος] properly, the inner bark of the papyrus plant, i.e. (by implication) a sheet or scroll of writing	g976
g971	bee-ad'-zo	βιάζω	biázō	[βιάζω] from {{g970}}; to force, i.e. (reflexively) to crowd oneself (into), or (passively) to be seized	g971
g970	bee'-ah	βία	bía	[βία] probably akin to {{g979}} (through the idea of vital activity); force	g970
g973	bee-as-tace'	βιαστής	biastḗs	[βιαστής] from {{g971}}; a forcer, i.e. (figuratively) energetic	g973
g972	bee'-ah-yos	βίαιος	bíaios	[βίαιος] from {{g970}}; violent	g972
g908	bap'-tis-mah	βάπτισμα	báptisma	[βάπτισμα] from {{g907}}; baptism (technically or figuratively)	g908
g909	bap-tis-mos'	βαπτισμός	baptismós	[βαπτισμός] from {{g907}}; ablution (ceremonial or Christian)	g909
g901	bath-oos'	βαθύς	bathýs	[βαθύς] from the base of {{g939}}; profound (as going down), literally or figuratively	g901
g902	bah-ee'-on	βαΐον	baḯon	[βαΐον] a diminutive of a derivative probably of the base of {{g939}}; a palm twig (as going out far)	g902
g903	bal-ah-am'	Βαλαάμ	Balaám	[Βαλαάμ] of Hebrew origin ({{h1109}}); Balaam, a Mesopotamian (symbolic of a false teacher)	g903
g904	bal-ak'	Βαλάκ	Balák	[Βαλάκ] of Hebrew origin ({{h1111}}); Balak, a Moabite	g904
g905	bal-an'-tee-on	βαλάντιον	balántion	[βαλάντιον] probably remotely from {{g906}} (as a depository); a pouch (for money)	g905
g906	bal'-lo	βάλλω	bállō	[βάλλω] a primary verb; to throw (in various applications, more or less violent or intense) Compare {{g4496}}.	g906
g907	bap-tid'-zo	βαπτίζω	baptízō	[βαπτίζω] from a derivative of {{g911}}; to immerse, submerge; to make whelmed (i.e. fully wet); used only (in the New Testament) of ceremonial ablution, especially (technically) of the ordinance of Christian baptism	g907
g919	bar-ee-ay-sooce'	Βαριησοῦς	Bariēsoûs	[Βαριησοῦς] of Chaldee origin ({{h1247}} and {{h3091}}); son of Jesus (or Joshua); Bar-jesus, an Israelite	g919
g918	bar-thol-om-ah'-yos	Βαρθολομαῖος	Bartholomaîos	[Βαρθολομαῖος] of Chaldee origin ({{h1247}} and {{h8526}}); son of Tolmai; Bar-tholomæus, a Christian apostle	g918
g913	bar-ak'	Βαράκ	Barák	[Βαράκ] of Hebrew origin ({{h1301}}); Barak, an Israelite	g913
g912	bar-ab-bas'	Βαραββᾶς	Barabbâs	[Βαραββᾶς] of Chaldee origin ({{h1347}} and {{h5}}); son of Abba; Bar-abbas, an Israelite	g912
g911	bap'-to	βάπτω	báptō	[βάπτω] a primary verb; to whelm, i.e. cover wholly with a fluid; in the New Testament only in a qualified or special sense, i.e. (literally) to moisten (a part of one's person), or (by implication) to stain (as with dye)	g911
g910	bap-tis-tace'	Βαπτιστής	Baptistḗs	[Βαπτιστής] from {{g907}}; a baptizer, as an epithet of Christ's forerunner	g910
g917	bar-eh'-oce	βαρέως	baréōs	[βαρέως] adverb from {{g926}}; heavily (figuratively)	g917
g916	bar-eh'-o	βαρέω	baréō	[βαρέω] from {{g926}}; to weigh down (figuratively)	g916
g915	bar'-bar-os	βάρβαρος	bárbaros	[βάρβαρος] of uncertain derivation; a foreigner (i.e. non-Greek)	g915
g914	bar-akh-ee'-as	Βαραχίας	Barachías	[Βαραχίας] of Hebrew origin ({{h1296}}); Barachias (i.e. Berechijah), an Israelite	g914
g980	bee-o'-o	βιόω	bióō	[βιόω] from {{g979}}; to spend existence	g980
g981	bee'-o-sis	βίωσις	bíōsis	[βίωσις] from {{g980}}; living (properly, the act, by implication, the mode)	g981
g982	bee-o-tee-kos'	βιωτικός	biōtikós	[βιωτικός] from a derivative of {{g980}}; relating to the present existence	g982
g983	blab-er-os'	βλαβερός	blaberós	[βλαβερός] from {{g984}}; injurious	g983
g984	blap'-to	βλάπτω	bláptō	[βλάπτω] a primary verb; properly, to hinder, i.e. (by implication) to injure	g984
g985	blas-tan'-o	βλαστάνω	blastánō	[βλαστάνω] from βλαστός (a sprout); to germinate; by implication, to yield fruit	g985
g986	blas'-tos	Βλάστος	Blástos	[Βλάστος] perhaps the same as the base of {{g985}}; Blastus, an officer of Herod Agrippa	g986
g987	blas-fay-meh'-o	βλασφημέω	blasphēméō	[βλασφημέω] from {{g989}}; to vilify; specially, to speak impiously	g987
