Key	Pronunciation	Lexeme	Transliteration	Definition	StrongsNumber
g3089	loo'-o	λύω	lýō	"[λύω] a primary verb; to ""loosen"" (literally or figuratively) Compare {{g4486}}."	g3089
g3088	lookh'-nos	λύχνος	lýchnos	[λύχνος] from the base of {{g3022}}; a portable lamp or other illuminator (literally or figuratively)	g3088
g3087	lookh-nee'-ah	λυχνία	lychnía	[λυχνία] from {{g3088}}; a lamp-stand (literally or figuratively)	g3087
g3086	loo-tro-tace'	λυτρωτής	lytrōtḗs	[λυτρωτής] from {{g3084}}; a redeemer (figuratively)	g3086
g3085	loo'-tro-sis	λύτρωσις	lýtrōsis	[λύτρωσις] from {{g3084}}; a ransoming (figuratively)	g3085
g3084	loo-tro'-o	λυτρόω	lytróō	[λυτρόω] from {{g3083}}; to ransom (literally or figuratively)	g3084
g3083	loo'-tron	λύτρον	lýtron	[λύτρον] from {{g3089}}; something to loosen with, i.e. a redemption price (figuratively, atonement)	g3083
g3082	loos'-trah	Λύστρα	Lýstra	[Λύστρα] of uncertain origin; Lystra, a place in Asia Minor	g3082
g3081	loo-sit-el-i'	λυσιτελεῖ	lysiteleî	[λυσιτελεῖ] third person singular present indicative active of a derivative of a compound of {{g3080}} and {{g5056}}; impersonally, it answers the purpose, i.e. is advantageous	g3081
g3080	loo'-sis	λύσις	lýsis	[λύσις] from {{g3089}}; a loosening, i.e. (specially), divorce	g3080
g3007	li'-po	λείπω	leípō	[λείπω] a primary verb; to leave, i.e. (intransitively or passively) to fail or be absent	g3007
g3006	li'-os	λεῖος	leîos	"[λεῖος] apparently a primary word; smooth, i.e. ""level"""	g3006
g3005	lime'-mah	λεῖμμα	leîmma	[λεῖμμα] from {{g3007}}; a remainder	g3005
g3004	leg'-o	λέγω	légō	"[λέγω] a primary verb; properly, to ""lay"" forth, i.e. (figuratively) relate (in words (usually of systematic or set discourse; whereas {{g2036}} and {{g5346}} generally refer to an individual expression or speech respectively; while {{g4483}} is properly to break silence merely, and {{g2980}} means an extended or random harangue)); by implication, to mean"	g3004
g3003	leg-eh-ohn'	λεγεών	legeṓn	"[λεγεών] of Latin origin; a ""legion"", i.e. Roman regiment (figuratively)"	g3003
g3002	leb-bah'-yos	Λεββαῖος	Lebbaîos	[Λεββαῖος] of uncertain origin; Lebbæus, a Christian	g3002
g3001	lakh'-an-on	λάχανον	láchanon	[λάχανον] from λαχαίνω (to dig); a vegetable	g3001
g3009	li-toorg-ee'-ah	λειτουργία	leitourgía	"[λειτουργία] from {{g3008}}; public function (as priest (""liturgy"") or almsgiver)"	g3009
g3008	li-toorg-eh'-o	λειτουργέω	leitourgéō	[λειτουργέω] from {{g3011}}; to be a public servant, i.e. (by analogy) to perform religious or charitable functions (worship, obey, relieve)	g3008
g3065	loo-kas'	Λουκᾶς	Loukâs	[Λουκᾶς] contracted from Latin ; Lucas, a Christian	g3065
g3064	loy-poo'	λοιποῦ	loipoû	[λοιποῦ] genitive case singular of the same as {{g3062}}; remaining time	g3064
g3067	loo-tron'	λουτρόν	loutrón	[λουτρόν] from {{g3068}}; a bath, i.e. (figuratively), baptism	g3067
g3066	loo'-kee-os	Λούκιος	Loúkios	[Λούκιος] of Latin origin; illuminative; Lucius, a Christian	g3066
g3061	loy'-mos	λοιμός	loimós	[λοιμός] of uncertain affinity; a plague (literally, the disease, or figuratively, a pest)	g3061
g3060	loy'-dor-os	λοίδορος	loídoros	[λοίδορος] from λοιδός (mischief); abusive, i.e. a blackguard	g3060
g3063	loy-pon'	λοιπόν	loipón	[λοιπόν] neuter singular of the same as {{g3062}}; something remaining (adverbially)	g3063
g3062	loy-poy'	λοιποί	loipoí	[λοιποί] masculine plural of a derivative of {{g3007}}; remaining ones	g3062
g3069	lud'-dah	Λύδδα	Lýdda	[Λύδδα] of Hebrew origin ({{h3850}}); Lydda (i.e. Lod), a place in Palestine	g3069
g3068	loo'-o	λούω	loúō	[λούω] a primary verb; to bathe (the whole person; whereas {{g3538}} means to wet a part only, and {{g4150}} to wash, cleanse garments exclusively)	g3068
g3098	mag-ogue'	Μαγώγ	Magṓg	[Μαγώγ] of Hebrew origin ({{h4031}}); Magog, a foreign nation, i.e. (figuratively) an Antichristian party	g3098
g3099	mad-ee-on'	Μαδιάν	Madián	[Μαδιάν] of Hebrew origin ({{h4080}}); Madian (i.e. Midian), a region of Arabia	g3099
g3090	lo-ece'	Λωΐς	Lōḯs	[Λωΐς] of uncertain origin; Lois, a Christian woman	g3090
g3091	lote	Λώτ	Lṓt	[Λώτ] of Hebrew origin ({{h3876}}); Lot, a patriarch	g3091
g3092	mah-ath'	Μαάθ	Maáth	[Μαάθ] probably of Hebrew origin; Maath, an Israelite	g3092
g3093	mag-dal-ah'	Μαγδαλά	Magdalá	[Μαγδαλά] of Chaldee origin (compare {{h4026}}); the tower; Magdala (i.e. Migdala), a place in Palestine	g3093
g3094	mag-dal-ay-nay'	Μαγδαληνή	Magdalēnḗ	[Μαγδαληνή] feminine of a derivative of {{g3093}}; a female Magdalene, i.e. inhabitant of Magdala	g3094
g3095	mag-i'-ah	μαγεία	mageía	"[μαγεία] from {{g3096}}; ""magic"""	g3095
g3096	mag-yoo'-o	μαγεύω	mageúō	[μαγεύω] from {{g3097}}; to practice magic	g3096
g3097	mag'-os	μάγος	mágos	[μάγος] of foreign origin ({{h7248}}); a Magian, i.e. Oriental scientist; by implication, a magician	g3097
g3010	li-toorg-ik-os'	λειτουργικός	leitourgikós	"[λειτουργικός] from the same as {{g3008}}; functional publicly (""liturgic""); i.e. beneficient"	g3010
g3011	li-toorg-os'	λειτουργός	leitourgós	[λειτουργός] from a derivative of {{g2992}} and {{g2041}}; a public servant, i.e. a functionary in the Temple or Gospel, or (genitive case) a worshipper (of God) or benefactor (of man)	g3011
g3012	len'-tee-on	λέντιον	léntion	"[λέντιον] of Latin origin; a ""linen"" cloth, i.e. apron"	g3012
g3013	lep-is'	λεπίς	lepís	[λεπίς] from λέπω (to peel); a flake	g3013
g3014	lep'-rah	λέπρα	lépra	"[λέπρα] from the same as {{g3013}}; scaliness, i.e. ""leprosy"""	g3014
g3015	lep-ros'	λεπρός	leprós	[λεπρός] from the same as {{g3014}}; scaly, i.e. leprous (a leper)	g3015
g3016	lep-ton'	λεπτόν	leptón	[λεπτόν] neuter of a derivative of the same as {{g3013}}; something scaled (light), i.e. a small coin	g3016
g3017	lyoo'-ee	Λευΐ	Leuḯ	[Λευΐ] of Hebrew origin ({{h3878}}); Levi, the name of three Israelites Compare {{g3018}}.	g3017
g3018	lyoo-is'	Λευΐς	Leuḯs	[Λευΐς] a form of {{g3017}}; Lewis (i.e. Levi), a Christian	g3018
g3019	lyoo-ee'-tace	Λευΐτης	Leuḯtēs	[Λευΐτης] from {{g3017}}; a Levite, i.e. descendant of Levi	g3019
g3076	loo-peh'-o	λυπέω	lypéō	[λυπέω] from {{g3077}}; to distress; reflexively or passively, to be sad	g3076
g3077	loo'-pay	λύπη	lýpē	[λύπη] apparently a primary word; sadness	g3077
g3074	loo'-kos	λύκος	lýkos	[λύκος] perhaps akin to the base of {{g3022}} (from the whitish hair); a wolf	g3074
g3075	loo-mah'-ee-nom-ahee	λυμαίνομαι	lymaínomai	[λυμαίνομαι] middle voice from a probably derivative of {{g3089}} (meaning filth); properly, to soil, i.e. (figuratively) insult (maltreat)	g3075
g3072	loo-kah-on-is-tee'	Λυκαονιστί	Lykaonistí	[Λυκαονιστί] adverb from a derivative of {{g3071}}; Lycaonistically, i.e. in the language of the Lycaonians	g3072
g3073	loo-kee'-ah	Λυκία	Lykía	[Λυκία] probably remotely from {{g3074}}; Lycia, a province of Asia Minor	g3073
g3070	loo-dee'-ah	Λυδία	Lydía	[Λυδία] properly, feminine of Ludios (of foreign origin) (a Lydian, in Asia Minor); Lydia, a Christian woman	g3070
g3071	loo-kah-on-ee'-ah	Λυκαονία	Lykaonía	[Λυκαονία] perhaps remotely from {{g3074}}; Lycaonia, a region of Asia Minor	g3071
