Key	Pronunciation	Lexeme	Transliteration	Definition	StrongsNumber
h8597	tif-aw-raw'	תִּפְאָרָה	tiphʼârâh	or תִּפְאֶרֶת; from {{h6286}}; ornament (abstractly or concretely, literally or figuratively); beauty(-iful), bravery, comely, fair, glory(-ious), honour, majesty.	h8597
h8596	tofe	תֹּף	tôph	from {{h8608}} contracted; a tambourine; tabret, timbrel.	h8596
h8595	tah-too'-ah	תַּעְתֻּעַ	taʻtuaʻ	from {{h8591}}; a fraud; error.	h8595
h8594	tah-ar-oo-baw'	תַּעֲרֻבָה	taʻărubâh	from {{h6148}}; suretyship, i.e. (concretely) a pledge; hostage.	h8594
h8593	tah'-ar	תַּעַר	taʻar	from {{h6168}}; a knife or razor (as making bare); also a scabbard (as being bare, i.e. empty); (pen-) knife, razor, scabbard, shave, sheath.	h8593
h8592	tah-ats-oo-maw'	תַּעֲצֻמָה	taʻătsumâh	from {{h6105}}; might (plural collective); power.	h8592
h8591	taw-ah'	תָּעַע	tâʻaʻ	a primitive root; to cheat; by analogy, to maltreat; deceive, misuse.	h8591
h8590	tah-an-awk'	תַּעֲנָךְ	Taʻănâk	or תַּעְנָךְ; of uncertain derivation; Taanak or Tanak, a place in Palestine; Taanach, Tanach.	h8590
h8599	tap-poo'-akh	תַּפּוּחַ	Tappûwach	the same as {{h8598}}; Tappuach, the name of two places in Palestine, also of an Israelite; Tappuah.	h8599
h8598	tap-poo'-akh	תַּפּוּחַ	tappûwach	from {{h5301}}; an apple (from its fragrance), i.e. the fruit or the tree (probably includ. others of the pome order, as the quince, the orange, etc.); apple (tree). See also {{h1054}}.	h8598
h8522	tel-ee'	תְּלִי	tᵉlîy	probably from {{h8518}}; a quiver (as slung); quiver.	h8522
h8523	tel-ee-thah'-ee	תְּלִיתַי	tᵉlîythay	(Aramaic) or תַּלְתִּי; (Aramaic), ordinal from {{h8532}}; third; third.	h8523
h8520	teh'-lakh	תֶּלַח	Telach	probably from an unused root meaning to dissever; breach; Telach, an Israelite; Telah.	h8520
