Key	Pronunciation	Lexeme	Transliteration	Definition	StrongsNumber
h822	esh-nawb'	אֶשְׁנָב	ʼeshnâb	apparently from an unused root (probably meaning to leave interstices); a latticed window; casement, lattice.	h822
h823	ash-naw'	אַשְׁנָה	ʼAshnâh	probably a variation for {{h3466}}; Ashnah, the name of two places in Palestine; Ashnah.	h823
h820	ash-mawn'	אַשְׁמָן	ʼashmân	probably from {{h8081}}; a fat field; desolate place.	h820
h821	ash-moo-raw'	אַשְׁמֻרָה	ʼashmurâh	or אַשׁמוּרָה; or אַשׁמֹרֶת; (feminine) from {{h8104}}; a night watch; watch.	h821
h826	ash-shawf'	אַשָּׁף	ʼashshâph	(Aramaic) corresponding to {{h825}}; astrologer.	h826
h827	ash-paw'	אַשְׁפָּה	ʼashpâh	perhaps (feminine) from the same as {{h825}} (in the sense of covering); a quiver or arrow-case; quiver.	h827
h824	esh-awn'	אֶשְׁעָן	ʼEshʻân	from {{h8172}}; support; Eshan, a place in Palestine; Eshean.	h824
h825	ash-shawf'	אַשָּׁף	ʼashshâph	from an unused root (probably meaning to lisp, i.e. practice enchantment); a conjurer; astrologer.	h825
h828	ash-pen-az'	אַשְׁפְּנַז	ʼAshpᵉnaz	of foreign origin; Ashpenaz, a Babylonian eunuch; Ashpenaz.	h828
h829	esh-pawr'	אֶשְׁפָּר	ʼeshpâr	of uncertain derivation; a measured portion; good piece (of flesh).	h829
h839	ash-oor'	אֲשֻׁר	ʼăshur	contracted for {{h8391}}; the cedar tree or some other light elastic wood; Ashurite.	h839
h838	aw-shoor'	אָשֻׁר	ʼâshur	or אַשֻּׁר; from {{h833}} in the sense of going; a step; going, step.	h838
h835	eh'-sher	אֶשֶׁר	ʼesher	from {{h833}}; happiness; only in masculine plural construction as interjection, how happy!; blessed, happy.	h835
h834	ash-er'	אֲשֶׁר	ʼăsher	a primitive relative pronoun (of every gender and number); who, which, what, that; also (as an adverb and a conjunction) when, where, how, because, in order that, etc.; × after, × alike, as (soon as), because, × every, for, + forasmuch, + from whence, + how(-soever), × if, (so) that ((thing) which, wherein), × though, + until, + whatsoever, when, where (+ -as, -in, -of, -on, -soever, -with), which, whilst, + whither(-soever), who(-m, -soever, -se). As it is indeclinable, it is often accompanied by the personal pronoun expletively, used to show the connection.	h834
h837	o'-sher	אֹשֶׁר	ʼôsher	from {{h833}}; happiness; happy.	h837
h836	aw-share'	אָשֵׁר	ʼÂshêr	from {{h833}}, happy; Asher, a son of Jacob, and the tribe descended from him, with its territory; also a place in Palestine; Asher	h836
h831	ash-kel-one'	אַשְׁקְלוֹן	ʼAshqᵉlôwn	probably from {{h8254}} in the sense of weighing-place (i.e. mart); Ashkelon, a place in Palestine; Ashkelon, Askalon.	h831
