Key	Pronunciation	Lexeme	Transliteration	Definition	StrongsNumber
h1538	gul-go'-leth	גֻּלְגֹּלֶת	gulgôleth	by reduplication from {{h1556}}; a skull (as round); by implication, a head (in enumeration of persons); head, every man, poll, skull.	h1538
h1539	ghe'-led	גֶּלֶד	geled	from an unused root probably meaning to polish; the (human) skin (as smooth); skin.	h1539
h1536	ghil-gawl'	גִּלְגָּל	gilgâl	a variation of {{h1534}}; wheel.	h1536
h1537	ghil-gawl'	גִּלְגָּל	Gilgâl	the same as {{h1536}} (with the article as a properly, noun); Gilgal, the name of three places in Palestine; Gilgal. See also {{h1019}}.	h1537
h1534	gal-gal'	גַּלְגַּל	galgal	by reduplication from {{h1556}}; a wheel; by analogy, a whirlwind; also dust (as whirled); heaven, rolling thing, wheel.	h1534
h1535	gal-gal'	גַּלְגַּל	galgal	(Aramaic) corresponding to {{h1534}}; a wheel; wheel.	h1535
h1532	gal-lawb'	גַּלָּב	gallâb	from an unused root meaning to shave; a barber; barber.	h1532
h1533	ghil-bo'-ah	גִּלְבֹּעַ	Gilbôaʻ	from {{h1530}} and {{h1158}}; fountain of ebullition; Gilboa, a mountain of Palestine; Gilboa.	h1533
h1530	gal	גַּל	gal	from {{h1556}}; something rolled, i.e. a heap of stone or dung (plural ruins), by analogy, a spring of water (plural waves); billow, heap, spring, wave.	h1530
h1531	gole	גֹּל	gôl	from {{h1556}}; a cup for oil (as round); bowl.	h1531
h1509	ghez-ay-raw'	גְּזֵרָה	gᵉzêrâh	from {{h1504}}; a desert (as separated); not inhabited.	h1509
h1508	ghiz-raw'	גִּזְרָה	gizrâh	feminine of {{h1506}}; the figure or person (as if cut out); also an inclosure (as separated); polishing, separate place.	h1508
h1503	geh'-zah	גֶּזַע	gezaʻ	from an unused root meaning to cut down (trees); the trunk or stump of a tree (as felled or as planted); stem, stock.	h1503
h1502	gaz-zawm'	גַּזָּם	Gazzâm	from the same as {{h1501}}; devourer; Gazzam, one of the Nethinim; Gazzam.	h1502
h1501	gaw-zawm'	גָּזָם	gâzâm	from an unused root meaning to devour; a kind of locust; palmer-worm.	h1501
h1507	gheh'-zer	גֶּזֶר	Gezer	the same as {{h1506}}; Gezer, a place in Palestine; Gazer, Gezer.	h1507
h1506	gheh'-zer	גֶּזֶר	gezer	from {{h1504}}; something cut off; a portion; part, piece.	h1506
h1505	ghez-ar'	גְּזַר	gᵉzar	(Aramaic) corresponding to {{h1504}}; to quarry; determine; cut out, soothsayer.	h1505
h1504	gaw-zar'	גָּזַר	gâzar	a primitive root; to cut down or off; (figuratively) to destroy, divide, exclude, or decide; cut down (off), decree, divide, snatch.	h1504
