Key	Pronunciation	Lexeme	Transliteration	Definition	StrongsNumber
h444	aw-lakh'	אָלַח	ʼâlach	a primitive root; to muddle, i.e. (figuratively and intransitive) to turn (morally) corrupt; become filthy.	h444
h445	el-khaw-nawn'	אֶלְחָנָן	ʼElchânân	from {{h410}} and {{h2603}}; God (is) gracious; Elchanan, an Israelite; Elkanan.	h445
h446	el-ee-awb'	אֱלִיאָב	ʼĔlîyʼâb	from {{h410}} and {{h1}}; God of (his) father; Eliab, the name of six Israelites; Eliab.	h446
h447	el-ee-ale'	אֱלִיאֵל	ʼĔlîyʼêl	from {{h410}} repeated; God of (his) God; Eliel, the name of nine Israelites; Eliel.	h447
h440	ay-lo-nee'	אֵלוֹנִי	ʼÊlôwnîy	or rather (shortened) אֵלֹנִי; patron from {{h438}}; an Elonite or descendant (collectively) of Elon; Elonites.	h440
h441	al-loof'	אַלּוּף	ʼallûwph	or (shortened) אַלֻּף; from {{h502}}; familiar; a friend, also gentle; hence, a bullock (as being tame; applied, although masculine, to a cow); and so, a chieftain (as notable, like neat cattle); captain, duke, (chief) friend, governor, guide, ox.	h441
h442	aw-loosh'	אָלוּשׁ	ʼÂlûwsh	of uncertain derivation; Alush, a place in the Desert; Alush.	h442
h443	el-zaw-bawd'	אֶלְזָבָד	ʼElzâbâd	from {{h410}} and {{h2064}}; God has bestowed; Elzabad, the name of two Israelites; Elzabad.	h443
h448	el-ee-aw-thaw'	אֱלִיאָתָה	ʼĔlîyʼâthâh	or (contraction) אֱלִיָּתָה; from {{h410}} and {{h225}}; God of (his) consent; Eliathah, an Israelite; Eliathah.	h448
h449	el-ee-dawd'	אֱלִידָד	ʼĔlîydâd	from the same as {{h419}}; God of (his) love; Elidad, an Israelite; Elidad.	h449
h431	al-oo'	אֲלוּ	ʼălûw	(Aramaic) probably prolonged from {{h412}}; lo!; behold.	h431
h430	el-o-heem'	אֱלֹהִים	ʼĕlôhîym	plural of {{h433}}; gods in the ordinary sense; but specifically used (in the plural thus, especially with the article) of the supreme God; occasionally applied by way of deference to magistrates; and sometimes as a superlative; angels, × exceeding, God (gods) (-dess, -ly), × (very) great, judges, × mighty.	h430
h433	el-o'-ah	אֱלוֹהַּ	ʼĕlôwahh	rarely (shortened) אֱלֹהַּ; probably prolonged (emphatic) from {{h410}}; a deity or the Deity; God, god. See {{h430}}.	h433
h432	il-loo'	אִלּוּ	ʼillûw	probably from {{h408}}; nay, i.e. (softened) if; but if, yea though.	h432
