Key	Pronunciation	Lexeme	Transliteration	Definition	StrongsNumber
h6942	kaw-dash'	קָדַשׁ	qâdash	a primitive root; to be (causatively, make, pronounce or observe as) clean (ceremonially or morally); appoint, bid, consecrate, dedicate, defile, hallow, (be, keep) holy(-er, place), keep, prepare, proclaim, purify, sanctify(-ied one, self), × wholly.	h6942
h6943	keh'-desh	קֶדֶשׁ	Qedesh	from {{h6942}}; a sanctum; Kedesh, the name of four places in Palestine; Kedesh.	h6943
h6940	kad-rooth'	קַדְרוּת	qadrûwth	from {{h6937}}; duskiness; blackness.	h6940
h6941	ked-o-ran-neeth'	קְדֹרַנִּית	qᵉdôrannîyth	adverb from {{h6937}}; blackish ones (i.e. in sackcloth); used adverbially, in mourning weeds; mournfully.	h6941
h6946	kaw-dashe'	קָדֵשׁ	Qâdêsh	the same as {{h6945}}; sanctuary; Kadesh, a place in the Desert; Kadesh. Compare {{h6947}}.	h6946
h6947	kaw-dashe' bar-nay'-ah	קָדֵשׁ בַּרְנֵעַ	Qâdêsh Barnêaʻ	from the same as {{h6946}} and an otherwise unused word (apparently compounded of a correspondent to {{h1251}} and a derivative of {{h5128}}) meaning desert of a fugitive; Kadesh of (the) Wilderness of Wandering; Kadesh-Barnea, a place in the Desert; Kadeshbarnea.	h6947
h6944	ko'-desh	קֹדֶשׁ	qôdesh	from {{h6942}}; a sacred place or thing; rarely abstract, sanctity; consecrated (thing), dedicated (thing), hallowed (thing), holiness, (× most) holy (× day, portion, thing), saint, sanctuary.	h6944
h6945	kaw-dashe'	קָדֵשׁ	qâdêsh	from {{h6942}}; a (quasi) sacred person, i.e. (technically) a (male) devotee (by prostitution) to licentious idolatry; sodomite, unclean.	h6945
h6948	ked-ay-shaw'	קְדֵשָׁה	qᵉdêshâh	feminine of {{h6945}}; a female devotee (i.e. prostitute); harlot, whore.	h6948
h6949	kaw-haw'	קָהָה	qâhâh	a primitive root; to be dull; be set on edge, be blunt.	h6949
h6979	koor	קוּר	qûwr	a primitive root; also denominative from {{h7023}}; to trench; by implication, to throw forth; to wall up, whether literal (to build a wall) or figurative (to estop); break down, cast out, destroy, dig.	h6979
h6978	kav-kav'	קַו־קַו	qav-qav	from {{h6957}} (in the sense of a fastening); stalwart; × meted out.	h6978
h6977	kev-oots-tsaw'	קְוֻצָּה	qᵉvutstsâh	feminine passive participle of {{h6972}} in its original sense; a forelock (as shorn); lock.	h6977
h6976	kotse	קוֹץ	Qôwts	the same as {{h6975}}; Kots, the name of two Israelites; Koz, Hakkoz (including the article).	h6976
h6975	kotse	קוֹץ	qôwts	or קֹץ; from {{h6972}} (in the sense of pricking); a thorn; thorn.	h6975
h6974	koots	קוּץ	qûwts	a primitive root (identical with through the idea of abruptness in starting up from sleep (compare {{h3364}})); to awake (literally or figuratively); arise, (be) (a-) wake, watch.	h6974
h6973	koots	קוּץ	qûwts	a primitive root (identical with through the idea of severing oneself from (compare {{h6962}})); to be (causatively, make) disgusted or anxious; abhor, be distressed, be grieved, loathe, vex, be weary.	h6973
h6972	koots	קוּץ	qûwts	a primitive root; to clip off; used only as denominative from {{h7019}}; to spend the harvest season; summer.	h6972
h6971	kofe	קוֹף	qôwph	or קֹף; of foreign origin,; a monkey; ape.	h6971
h6970	ko'-ah	קוֹעַ	Qôwaʻ	probably from {{h6972}} in the original sense of cutting off; curtailment; Koa, a region of Babylon; Koa.	h6970
h6968	ko-mem-ee-yooth'	קוֹמְמִיּוּת	qôwmᵉmîyûwth	from {{h6965}}; elevation, i.e. (adverbially) erectly (figuratively); upright.	h6968
h6969	koon	קוּן	qûwn	a primitive root; to strike a musical note, i.e. chant or wail (at a funeral); lament, mourning woman.	h6969
h6960	kaw-vaw'	קָוָה	qâvâh	a primitive root; to bind together (perhaps by twisting), i.e. collect; (figuratively) to expect; gather (together), look, patiently, tarry, wait (for, on, upon).	h6960
h6961	kaw-veh'	קָוֶה	qâveh	from {{h6960}}; a (measuring) cord (as if for binding); line.	h6961
h6962	koot	קוּט	qûwṭ	a primitive root; properly, to cut off, i.e. (figuratively) detest; begrieved, loathe self.	h6962
h6963	kole	קוֹל	qôwl	or קֹל; from an unused root meaning to call aloud; a voice or sound; aloud, bleating, crackling, cry (  out), fame, lightness, lowing, noise,   hold peace, (pro-) claim, proclamation,   sing, sound,   spark, thunder(-ing), voice,   yell.	h6963
h6964	ko-law-yaw'	קוֹלָיָה	Qôwlâyâh	from {{h6963}} and {{h3050}}; voice of Jah; Kolajah, the name of two Israelites; Kolaiah.	h6964
h6965	koom	קוּם	qûwm	a primitive root; to rise (in various applications, literal, figurative, intensive and causative); abide, accomplish, × be clearer, confirm, continue, decree, × be dim, endure, × enemy, enjoin, get up, make good, help, hold, (help to) lift up (again), make, × but newly, ordain, perform, pitch, raise (up), rear (up), remain, (a-) rise (up) (again, against), rouse up, set (up), (e-) stablish, (make to) stand (up), stir up, strengthen, succeed, (as-, make) sure(-ly), (be) up(-hold, -rising).	h6965
h6966	koom	קוּם	qûwm	(Aramaic) corresponding to {{h6965}}; appoint, establish, make, raise up self, (a-) rise (up), (make to) stand, set (up).	h6966
h6967	ko-maw'	קוֹמָה	qôwmâh	from {{h6965}}; height; × along, height, high, stature, tall.	h6967
h6919	kaw-dakh'	קָדַח	qâdach	a primitive root to inflame; to inflame; burn, kindle.	h6919
h6918	kaw-doshe'	קָדוֹשׁ	qâdôwsh	or קָדֹשׁ; from {{h6942}}; sacred (ceremonially or morally); (as noun) God (by eminence), an angel, a saint, a sanctuary; holy (One), saint.	h6918
h6915	kaw-dad'	קָדַד	qâdad	a primitive root; to shrivel up, i.e. contract or bend the body (or neck) in deference; bow (down) (the) head, stoop.	h6915
h6914	kib-roth' hat-tahav-aw'	קִבְרוֹת הַתַּאֲוָה	Qibrôwth hat-Taʼă-vâh	from the feminine plural of {{h6913}} and {{h8378}} with the article interposed; graves of the longing; Kibroth-hat-Taavh, a place in the Desert; Kibroth-hattaavah.	h6914
h6917	kaw-doom'	קָדוּם	qâdûwm	passive participle of {{h6923}}; a pristine hero; ancient.	h6917
h6916	kid-daw'	קִדָּה	qiddâh	from {{h6915}}; cassia bark (as in shrivelled rolls); cassia.	h6916
h6911	kib-tsah'-yim	קִבְצַיִם	Qibtsayim	dual from {{h6908}}; a double heap; Kibtsajim, a place in Palestine; Kibzaim.	h6911
h6910	keb-oo-tsaw'	קְבֻצָה	qᵉbutsâh	feminine passive participle of {{h6908}}; a hoard; × gather.	h6910
h6913	keh'-ber	קֶבֶר	qeber	or (feminine) קִבְרָה; from {{h6912}}; a sepulchre; burying place, grave, sepulchre.	h6913
h6912	kaw-bar'	קָבַר	qâbar	a primitive root; to inter; × in any wise, bury(-ier).	h6912
h6995	ko'-ten	קֹטֶן	qôṭen	from {{h6994}}; a pettiness, i.e. the little finger; little finger.	h6995
h6994	kaw-tone'	קָטֹן	qâṭôn	a primitive root (rather denominative from {{h6996}}); to diminish, i.e. be (causatively, make) diminutive or (figuratively) of no account; be a (make) small (thing), be not worthy.	h6994
h6997	kaw-tawn'	קָטָן	Qâṭân	the same as {{h6996}}; small; Katan, an Israelite; Hakkatan (including the article).	h6997
h6996	kaw-tawn'	קָטָן	qâṭân	or קָטֹן; from {{h6962}}; abbreviated, i.e. diminutive, literally (in quantity, size or number) or figuratively (in age or importance); least, less(-er), little (one), small(-est, one, quantity, thing), young(-er, -est).	h6996
h6991	kaw-tal'	קָטַל	qâṭal	a primitive root; properly, to cut off, i.e. (figuratively) put to death; kill, slay.	h6991
h6990	kaw-tat'	קָטַט	qâṭaṭ	a primitive root; to clip off, i.e. (figuratively) destroy; be cut off.	h6990
h6993	keh'-tel	קֶטֶל	qeṭel	from {{h6991}}; a violent death; slaughter.	h6993
h6992	ket-al'	קְטַל	qᵉṭal	(Aramaic) corresponding to {{h6991}}; to kill; slay.	h6992
h6999	kaw-tar'	קָטַר	qâṭar	a primitive root (identical with through the idea of fumigation in a close place and perhaps thus driving out the occupants); to smoke, i.e. turn into fragrance by fire (especially as an act of worship); burn (incense, sacrifice) (upon), (altar for) incense, kindle, offer (incense, a sacrifice).	h6999
h6998	kaw-taf'	קָטַף	qâṭaph	a primitive root; to strip off; crop off, cut down (up), pluck.	h6998
h6908	kaw-bats'	קָבַץ	qâbats	a primitive root; to grasp, i.e. collect; assemble (selves), gather (bring) (together, selves together, up), heap, resort, × surely, take up.	h6908
h6909	kab-tseh-ale'	קַבְצְאֵל	Qabtsᵉʼêl	from {{h6908}} and {{h410}}; God has gathered; Kabtseel, a place in Palestine; Kabzeel. Compare {{h3343}}.	h6909
h6906	kaw-bah'	קָבַע	qâbaʻ	a primitive root; to cover, i.e. (figuratively) defraud; rob, spoil.	h6906
h6907	koob-bah'-ath	קֻבַּעַת	qubbaʻath	from {{h6906}}; a goblet (as deep like a cover); dregs.	h6907
h6904	ko'-bel	קֹבֶל	qôbel	from {{h6901}} in the sense of confronting (as standing opposite in order to receive); a battering-ram; war.	h6904
h6905	kaw-bawl'	קָבָל	qâbâl	from {{h6901}} in the sense of opposite (see {{h6904}}); the presence, i.e. (adverbially) in front of; before.	h6905
h6902	keb-al'	קְבַל	qᵉbal	(Aramaic) corresponding to {{h6901}}; to acquire; receive, take.	h6902
h6903	keb-ale'	קְבֵל	qᵉbêl	(Aramaic) or קֳבֵל; (Aramaic), (corresponding to {{h6905}}; (adverbially) in front of; usually (with other particles) on account of, so as, since, hence; according to,   as,   because, before,   for this cause,   forasmuch as,   by this means, over against, by reason of,   that,   therefore,   though,   wherefore.	h6903
h6901	kaw-bal'	קָבַל	qâbal	a primitive root; to admit, i.e. take (literally or figuratively); choose, (take) hold, receive, (under-) take.	h6901
h6986	keh'-teb	קֶטֶב	qeṭeb	from an unused root meaning to cut off; ruin; destroying, destruction.	h6986
h6987	ko'-teb	קֹטֶב	qôṭeb	from the same as {{h6986}}; extermination; destruction.	h6987
h6984	koo-shaw-yaw'-hoo	קוּשָׁיָהוּ	qûwshâyâhûw	from the passive participle of {{h6983}} and {{h3050}}; entrapped of Jah; Kushajah, an Israelite; Kushaiah.	h6984
h6985	kat	קַט	qaṭ	from {{h6990}} in the sense of abbreviation; a little, i.e. (adverbially) merely; very.	h6985
h6982	ko-raw'	קוֹרָה	qôwrâh	or קֹרָה; from {{h6979}}; a rafter (forming trenches as it were); by implication, a roof; beam, roof.	h6982
