Key	Pronunciation	Lexeme	Transliteration	Definition	StrongsNumber
h1439	ghid-ohn'	גִּדְעוֹן	Gidʻôwn	from {{h1438}}; feller (i.e. warrior); Gidon, an Israelite; Gideon.	h1439
h1438	gaw-dah'	גָּדַע	gâdaʻ	a primitive root; to fell a tree; generally, to destroy anything; cut (asunder, in sunder, down, off), hew down.	h1438
h1437	ghid-dal'-tee	גִּדַּלְתִּי	Giddaltîy	from {{h1431}}; I have made great; Giddalti, an Israelite; Giddalti.	h1437
h1436	ghed-al-yaw'	גְּדַּלְיָה	Gᵉdalyâh	or (prolonged) גְּדַלְיָהוּ; from {{h1431}} and {{h3050}}; Jah has become great; Gedaljah, the name of five Israelites; Gedaliah.	h1436
h1435	ghid-dale'	גִּדֵּל	Giddêl	from {{h1431}}; stout; Giddel, the name of one of the Nethinim, also of one of 'Solomon's servants'; Giddel.	h1435
h1434	ghed-eel'	גְּדִל	gᵉdil	from {{h1431}} (in the sense of twisting); thread, i.e. a tassel or festoon; fringe, wreath.	h1434
h1433	go'-del	גֹּדֶל	gôdel	from {{h1431}}; magnitude (literally or figuratively); greatness, stout(-ness).	h1433
h1432	gaw-dale'	גָּדֵל	gâdêl	from {{h1431}}; large (literally or figuratively); great, grew.	h1432
h1431	gaw-dal'	גָּדַל	gâdal	a primitive root; properly, to twist (compare {{h1434}}), i.e.; to be (causatively make) large (in various senses, as in body, mind, estate or honor, also in pride); advance, boast, bring up, exceed, excellent, be(-come, do, give, make, wax), great(-er, come to... estate,   things), grow(up), increase, lift up, magnify(-ifical), be much set by, nourish (up), pass, promote, proudly (spoken), tower.	h1431
h1430	gaw-deesh'	גָּדִישׁ	gâdîysh	from an unused root (meaning to heap up); a stack of sheaves; by analogy, a tomb; shock (stack) (of corn), tomb.	h1430
h1428	ghid-yaw'	גִּדְיָה	gidyâh	or גַּדיָה; the same as {{h1415}}; a river brink; bank.	h1428
h1429	ghed-ee-yaw'	גְּדִיָּה	gᵉdîyâh	feminine of {{h1423}}; a young female goat; kid.	h1429
