Key	Pronunciation	Lexeme	Transliteration	Definition	StrongsNumber
g4918	soon-thlee'-bo	συνθλίβω	synthlíbō	[συνθλίβω] from {{g4862}} and {{g2346}}; to compress, i.e. crowd on all sides	g4918
g4919	soon-throop'-to	συνθρύπτω	synthrýptō	[συνθρύπτω] from {{g4862}} and θρύπτω (to crumble); to crush together, i.e. (figuratively) to dispirit	g4919
g4910	soon-yoo-o-kheh'-o	συνευωχέω	syneuōchéō	[συνευωχέω] from {{g4862}} and a derivative of a presumed compound of {{g2095}} and a derivative of {{g2192}} (meaning to be in good condition, i.e. (by implication) to fare well, or feast); to entertain sumptuously in company with, i.e. (middle voice or passive) to revel together	g4910
g4911	soon-ef-is'-tay-mee	συνεφίστημι	synephístēmi	[συνεφίστημι] from {{g4862}} and {{g2186}}; to stand up together, i.e. to resist (or assault) jointly	g4911
g4912	soon-ekh'-o	συνέχω	synéchō	[συνέχω] from {{g4862}} and {{g2192}}; to hold together, i.e. to compress (the ears, with a crowd or siege) or arrest (a prisoner); figuratively, to compel, perplex, afflict, preoccupy	g4912
g4913	soon-ay'-dom-ahee	συνήδομαι	synḗdomai	[συνήδομαι] middle voice from {{g4862}} and the base of {{g2237}}; to rejoice in with oneself, i.e. feel satisfaction concerning	g4913
g4914	soon-ay'-thi-ah	συνήθεια	synḗtheia	[συνήθεια] from a compound of {{g4862}} and {{g2239}}; mutual habituation, i.e. usage	g4914
g4915	soon-ay-lik-ee-o'-tace	συνηλικιώτης	synēlikiṓtēs	[συνηλικιώτης] from {{g4862}} and a derivative of {{g2244}}; a co-aged person, i.e. alike in years	g4915
g4916	soon-thap'-to	συνθάπτω	syntháptō	[συνθάπτω] from {{g4862}} and {{g2290}}; to inter in company with, i.e. (figuratively) to assimilate spiritually (to Christ by a sepulture as to sin)	g4916
g4917	soon-thlah'-o	συνθλάω	synthláō	[συνθλάω] from {{g4862}} and thlao (to crush); to dash together, i.e. shatter	g4917
g4990	so-tare'	σωτήρ	sōtḗr	[σωτήρ] from {{g4982}}; a deliverer, i.e. God or Christ	g4990
g4991	so-tay-ree'-ah	σωτηρία	sōtēría	[σωτηρία] feminine of a derivative of {{g4990}} as (properly, abstract) noun; rescue or safety (physically or morally)	g4991
g4992	so-tay'-ree-on	σωτήριον	sōtḗrion	[σωτήριον] neuter of the same as {{g4991}} as (properly, concretely) noun; defender or (by implication) defence	g4992
g4993	so-fron-eh'-o	σωφρονέω	sōphronéō	[σωφρονέω] from {{g4998}}; to be of sound mind, i.e. sane, (figuratively) moderate	g4993
g4994	so-fron-id'-zo	σωφρονίζω	sōphronízō	[σωφρονίζω] from {{g4998}}; to make of sound mind, i.e. (figuratively) to discipline or correct	g4994
g4995	so-fron-is-mos'	σωφρονισμός	sōphronismós	[σωφρονισμός] from {{g4994}}; discipline, i.e. self-control	g4995
g4996	so-fron'-oce	σωφρόνως	sōphrónōs	[σωφρόνως] adverb from {{g4998}}; with sound mind, i.e. moderately	g4996
g4997	so-fros-oo'-nay	σωφροσύνη	sōphrosýnē	[σωφροσύνη] from {{g4998}}; soundness of mind, i.e. (literally) sanity or (figuratively) self-control	g4997
g4998	so'-frone	σώφρων	sṓphrōn	[σώφρων] from the base of {{g4982}} and that of {{g5424}}; safe (sound) in mind, i.e. self-controlled (moderate as to opinion or passion)	g4998
g4999	tab-er'-nahee	Ταβέρναι	Tabérnai	[Ταβέρναι] plural of Latin origin; huts or wooden-walled buildings; Tabernæ	g4999
g4969	sfad'-zo	σφάζω	spházō	[σφάζω] a primary verb; to butcher (especially an animal for food or in sacrifice) or (generally) to slaughter, or (specially), to maim (violently)	g4969
g4968	sfag'-ee-on	σφάγιον	sphágion	[σφάγιον] neuter of a derivative of {{g4967}}; a victim (in sacrifice)	g4968
g4965	soo-khar'	Συχάρ	Sychár	[Συχάρ] of Hebrew origin ({{h7941}}); Sychar (i.e. Shekar), a place in Palestine	g4965
g4964	soos-khay-mat-id'-zo	συσχηματίζω	syschēmatízō	[συσχηματίζω] from {{g4862}} and a derivative of {{g4976}}; to fashion alike, i.e. conform to the same pattern (figuratively)	g4964
g4967	sfag-ay'	σφαγή	sphagḗ	[σφαγή] from {{g4969}}; butchery (of animals for food or sacrifice, or (figuratively) of men (destruction))	g4967
g4966	soo-khem'	Συχέμ	Sychém	[Συχέμ] of Hebrew origin ({{h7927}}); Sychem (i.e. Shekem), the name of a Canaanite and of a place in Palestine	g4966
g4961	soos-trat-ee-o'-tace	συστρατιώτης	systratiṓtēs	[συστρατιώτης] from {{g4862}} and {{g4757}}; a co-campaigner, i.e. (figuratively) an associate in Christian toil	g4961
g4960	soos-toy-kheh'-o	συστοιχέω	systoichéō	[συστοιχέω] from {{g4862}} and {{g4748}}; to file together (as soldiers in ranks), i.e. (figuratively) to correspond to	g4960
g4963	soos-trof-ay'	συστροφή	systrophḗ	[συστροφή] from {{g4962}}; a twisting together, i.e. (figuratively) a secret coalition, riotous crowd	g4963
g4962	soos-tref'-o	συστρέφω	systréphō	[συστρέφω] from {{g4862}} and {{g4762}}; to twist together, i.e. collect (a bundle, a crowd)	g4962
g5000	tab-ee-thah'	Ταβιθά	Tabithá	[Ταβιθά] of Chaldee origin (compare {{h6646}}); the gazelle; Tabitha (i.e. Tabjetha), a Christian female	g5000
g4978	skhis'-mah	σχίσμα	schísma	"[σχίσμα] from {{g4977}}; a split or gap (""schism""), literally or figuratively"	g4978
g4979	skhoy-nee'-on	σχοινίον	schoiníon	[σχοινίον] diminutive of σχοῖνος (a rush or flag-plant; of uncertain derivation); a rushlet, i.e. grass-withe or tie (generally)	g4979
g4976	skhay'-mah	σχῆμα	schēma	[σχῆμα] from the alternate of {{g2192}}; a figure (as a mode or circumstance), i.e. (by implication) external condition	g4976
g4977	skhid'-zo	σχίζω	schízō	[σχίζω] apparently a primary verb; to split or sever (literally or figuratively)	g4977
g4974	sfoo-ron'	σφυρόν	sphyrón	"[σφυρόν] neuter of a presumed derivative probably of the same as σφαῖρα (a ball, ""sphere""; compare the feminine σφῦρα, a hammer); the ankle (as globular)"	g4974
g4975	skhed-on'	σχεδόν	schedón	[σχεδόν] neuter of a presumed derivative of the alternate of {{g2192}} as adverb; nigh, i.e. nearly	g4975
