Key	Pronunciation	Lexeme	Transliteration	Definition	StrongsNumber
g4446	poo-ret-os'	πυρετός	pyretós	[πυρετός] from {{g4445}}; inflamed, i.e. (by implication) feverish (as noun, fever)	g4446
g4447	poo'-ree-nos	πύρινος	pýrinos	[πύρινος] from {{g4443}}; fiery, i.e. (by implication) flaming	g4447
g4444	poor'-gos	πύργος	pýrgos	"[πύργος] apparently a primary word (""burgh""); a tower or castle"	g4444
g4445	poo-res'-so	πυρέσσω	pyréssō	[πυρέσσω] from {{g4443}}; to be on fire, i.e. (specially), to have a fever	g4445
g4442	poor	πῦρ	pŷr	"[πῦρ] a primary word; ""fire"" (literally or figuratively, specially, lightning)"	g4442
g4443	poo-rah'	πυρά	pyrá	[πυρά] from {{g4442}}; a fire (concretely)	g4443
g4440	poo-lone'	πυλών	pylṓn	[πυλών] from {{g4439}}; a gate-way, door-way of a building or city; by implication, a portal or vestibule	g4440
g4441	poon-than'-om-ahee	πυνθάνομαι	pynthánomai	[πυνθάνομαι] middle voice prolonged from a primary πύθω (which occurs only as an alternate in certain tenses); to question, i.e. ascertain by inquiry (as a matter of information merely; and thus differing from {{g2065}}, which properly means a request as a favor; and from {{g154}}, which is strictly a demand for something due; as well as from {{g2212}}, which implies a search for something hidden; and from {{g1189}}, which involves the idea of urgent need); by implication, to learn (by casual intelligence)	g4441
g4448	poo-ro'-o	πυρόω	pyróō	[πυρόω] from {{g4442}}; to kindle, i.e. (passively) to be ignited, glow (literally), be refined (by implication), or (figuratively) to be inflamed (with anger, grief, lust)	g4448
g4449	poor-hrad'-zo	πυῤῥάζω	pyrrházō	[πυῤῥάζω] from {{g4450}}; to redden (intransitively)	g4449
g4473	hran-tis-mos'	ῥαντισμός	rhantismós	[ῥαντισμός] from {{g4472}}; aspersion (ceremonially or figuratively)	g4473
g4472	hran-tid'-zo	ῥαντίζω	rhantízō	[ῥαντίζω] from a derivative of ῥαίνω (to sprinkle); to render besprinkled, i.e. asperse (ceremonially or figuratively)	g4472
g4471	hram-ah'	Ῥαμᾶ	Rhamâ	[Ῥαμᾶ] of Hebrew origin ({{h7414}}); Rama (i.e. Ramah), a place in Palestine	g4471
g4470	hrak'-os	ῥάκος	rhákos	"[ῥάκος] from {{g4486}}; a ""rag,"" i.e. piece of cloth"	g4470
g4477	hrakh-ab'	Ῥαχάβ	Rhacháb	[Ῥαχάβ] from the same as {{g4460}}; Rachab, a Canaanitess	g4477
g4476	hraf-ece'	ῥαφίς	rhaphís	[ῥαφίς] from a primary ῥάπτω (to sew; perhaps rather akin to the base of {{g4474}} through the idea of puncturing); a needle	g4476
g4475	hrap'-is-mah	ῥάπισμα	rhápisma	[ῥάπισμα] from {{g4474}}; a slap	g4475
g4474	hrap-id'-zo	ῥαπίζω	rhapízō	"[ῥαπίζω] from a derivative of a primary ῥέπω (to let fall, ""rap""); to slap Compare {{g5180}}."	g4474
